진료년도,주상병코드,성별,환자수(명),청구건수(건),요양급여비용(원),보험자부담금(원)
2013,A98,남,355 ,615 ,604951930 ,462268800 
2013,A98,여,321 ,476 ,384230220 ,293869770 
2013,A99,남,41 ,45 ,53874500 ,42543820 
2013,A99,여,40 ,43 ,9770960 ,7001210 
2013,B00,남,304271 ,488492 ,8274874410 ,6015443820 
2013,B00,여,452294 ,713454 ,11250113700 ,8095574620 
2013,B01,남,56542 ,108542 ,2301269570 ,1707123850 
2013,B01,여,51125 ,98572 ,1975055010 ,1452440280 
2013,B02,남,244381 ,790102 ,23029752620 ,16215117360 
2013,B02,여,378676 ,1215621 ,39249199940 ,28023075260 
2013,B03,남,2 ,2 ,90580 ,43180 
2013,B03,여,2 ,3 ,95810 ,25210 
2013,B04,여,4 ,7 ,96230 ,66830 
2013,B05,남,255 ,358 ,76934760 ,63045190 
2013,B05,여,261 ,383 ,70561600 ,56348380 
2013,B06,남,113 ,179 ,5635270 ,3691500 
2013,B06,여,580 ,695 ,33052650 ,19739080 
2013,B07,남,193724 ,483055 ,20093840250 ,13179335980 
2013,B07,여,170330 ,411849 ,16330939370 ,10797617820 
2013,B08,남,320134 ,602153 ,14754868910 ,11488842820 
2013,B08,여,298155 ,554975 ,12954285540 ,10038889480 
2013,B09,남,17244 ,26208 ,621039970 ,436046690 
2013,B09,여,16392 ,24692 ,577715540 ,403451540 
2013,B15,남,2810 ,5511 ,1181802480 ,836535310 
2013,B15,여,2336 ,4251 ,880885410 ,629004350 
2013,B16,남,6883 ,13719 ,1403170520 ,906442320 
2013,B16,여,6389 ,10958 ,868660540 ,549113860 
2013,B17,남,18450 ,33325 ,4138657140 ,2840550790 
2013,B17,여,18754 ,33509 ,4599476880 ,3176158500 
2013,B18,남,216894 ,995537 ,81240978080 ,44959855070 
2013,B18,여,158829 ,658439 ,53888494960 ,29556960520 
2013,B19,남,4538 ,8327 ,504601960 ,355756650 
2013,B19,여,4580 ,7101 ,431802130 ,298118540 
2013,B20,남,854 ,4620 ,7487594130 ,6702775410 
2013,B20,여,117 ,447 ,779749000 ,702059560 
2013,B21,남,36 ,244 ,277974390 ,250693990 
2013,B21,여,1 ,4 ,11451380 ,10306480 
2013,B22,남,54 ,276 ,485758510 ,434225840 
2013,B22,여,12 ,35 ,26535430 ,23578470 
2013,B23,남,278 ,1435 ,1954382480 ,1746373630 
2013,B23,여,26 ,151 ,156654390 ,139261210 
2013,B24,남,4888 ,33112 ,47304744620 ,42526592860 
2013,B24,여,453 ,3001 ,4406856650 ,3960913160 
2013,B25,남,445 ,1871 ,1038433080 ,914206660 
2013,B25,여,325 ,1109 ,733609660 ,642832040 
2013,B26,남,23217 ,44597 ,2537459730 ,1780320330 
2013,B26,여,12091 ,20907 ,992739830 ,693222970 
2013,B27,남,1432 ,2648 ,527435530 ,403236730 
2013,B27,여,1596 ,3012 ,487909280 ,370282700 
2013,B30,남,184399 ,381267 ,6045622020 ,4385233790 
2013,B30,여,193403 ,390259 ,5984373420 ,4320368840 
2013,B33,남,6896 ,13391 ,234836380 ,171134080 
2013,B33,여,10075 ,19778 ,298173120 ,216540350 
2013,B34,남,24623 ,41936 ,2831464080 ,2069668980 
2013,B34,여,23116 ,39245 ,2572903480 ,1851499080 
2013,B35,남,1358561 ,2915220 ,38248319370 ,27075309280 
2013,B35,여,1159455 ,2751027 ,34397944820 ,24797947710 
2013,B36,남,65572 ,100418 ,1381995780 ,945918520 
2013,B36,여,39671 ,58550 ,800189460 ,556488160 
2013,B37,남,58633 ,92738 ,2339078250 ,1746234600 
2013,B37,여,951338 ,1936956 ,31079252430 ,21401272500 
2013,B38,남,27 ,68 ,66213670 ,50911410 
2013,B38,여,34 ,53 ,2291670 ,1665870 
2013,B39,남,6 ,6 ,137000 ,89500 
2013,B39,여,23 ,52 ,841140 ,465340 
2013,B40,남,25 ,33 ,1057050 ,530950 
2013,B40,여,7 ,14 ,261850 ,198650 
2013,B41,남,2 ,2 ,24250 ,17050 
2013,B42,남,25 ,108 ,4461250 ,2024690 
2013,B42,여,23 ,63 ,4541300 ,2600740 
2013,B43,남,1485 ,3009 ,78438540 ,53913010 
2013,B43,여,1351 ,2474 ,73220380 ,52162100 
2013,B44,남,1100 ,3957 ,1958158930 ,1502077500 
2013,B44,여,882 ,3289 ,1213989120 ,910792020 
2013,B45,남,102 ,508 ,418711550 ,367098830 
2013,B45,여,120 ,536 ,973285010 ,851996900 
2013,B46,남,204 ,459 ,665658670 ,552698880 
2013,B46,여,228 ,664 ,1092407470 ,865099950 
2013,B47,남,443 ,776 ,41711430 ,29845230 
2013,B47,여,855 ,1282 ,25889230 ,16600360 
2013,B48,남,1773 ,3862 ,126765100 ,105284900 
2013,B48,여,1728 ,3738 ,71402940 ,55979550 
2013,B49,남,3559 ,6335 ,405289200 ,308090280 
2013,B49,여,4798 ,8514 ,422575840 ,302291320 
2013,B50,남,125 ,214 ,88127510 ,65491420 
2013,B50,여,76 ,99 ,25082810 ,18781080 
2013,B51,남,208 ,383 ,124396230 ,91585470 
2013,B51,여,77 ,165 ,45407940 ,33367470 
2013,B52,남,20 ,21 ,99730 ,77430 
2013,B52,여,14 ,14 ,72620 ,51720 
2013,B53,남,34 ,40 ,4356410 ,3002330 
2013,B53,여,21 ,28 ,8635430 ,6738090 
2013,B54,남,730 ,986 ,182762610 ,132429900 
2013,B54,여,507 ,591 ,45379460 ,32174830 
2013,B55,남,4 ,25 ,968090 ,322490 
2013,B55,여,3 ,5 ,165550 ,59550 
2013,B56,남,16 ,20 ,794030 ,393230 
2013,B56,여,10 ,15 ,272610 ,119710 
2013,B57,여,2 ,4 ,25560 ,21960 
2013,B58,남,115 ,349 ,103054270 ,85557620 
2013,B58,여,127 ,328 ,62982610 ,49128040 
2013,B59,남,76 ,156 ,430817800 ,377290430 
2013,B59,여,37 ,88 ,215531800 ,190441970 
