진료년도,암상병코드,환자수(명),청구건수(건),요양급여비용(원)
2015,C14,279 ,1858 ,745678260 
2015,C15,8695 ,109475 ,60069599140 
2015,C16,149831 ,1002585 ,399504973510 
2015,C17,2779 ,21476 ,10968637430 
2015,C18,81102 ,615086 ,310214405270 
2015,C19,15076 ,107334 ,58105800550 
2015,C20,50529 ,465282 ,196682346260 
2015,C21,1894 ,15840 ,5350254700 
2015,C22,66456 ,673672 ,431097370870 
2015,C23,7213 ,61730 ,38579665740 
2015,C24,12064 ,112060 ,77612860050 
2015,C25,14524 ,186446 ,114828078370 
2015,C26,980 ,5487 ,1782424650 
2015,C30,938 ,10569 ,3724263500 
2015,C31,955 ,12258 ,5291807760 
2015,C32,7043 ,70854 ,25166276690 
2015,C33,241 ,1628 ,656828070 
2015,C34,73277 ,877376 ,473909109240 
2015,C38,939 ,6255 ,4178530850 
2015,C39,189 ,770 ,239931520 
2015,C40,1929 ,16913 ,9356290360 
2015,C41,2994 ,20889 ,12312067640 
2015,C43,3222 ,32624 ,11428125980 
2015,C44,12111 ,66667 ,16595582640 
2015,C45,372 ,4563 ,3514211930 
2015,C46,338 ,3154 ,1017197190 
2015,C47,361 ,3539 ,1618269780 
2015,C48,1983 ,17842 ,11565589150 
2015,C49,6237 ,66397 ,27729316420 
2015,C50,141411 ,1778672 ,526923299860 
2015,C51,545 ,4878 ,1865879970 
2015,C52,355 ,4030 ,1408344740 
2015,C53,26102 ,227266 ,75702611380 
2015,C54,12980 ,101070 ,32951965900 
2015,C55,1359 ,9744 ,3708810940 
2015,C56,16148 ,160772 ,84825851090 
2015,C57,1017 ,6990 ,3428241170 
2015,C60,246 ,1764 ,549737320 
2015,C61,62773 ,483984 ,131490265650 
2015,C62,1823 ,10467 ,2749380690 
2015,C63,174 ,943 ,278371500 
2015,C64,23879 ,137842 ,51982241880 
2015,C65,2645 ,18290 ,7278902740 
2015,C66,2749 ,22844 ,10075334400 
2015,C67,28312 ,213371 ,71043100360 
2015,C68,394 ,2374 ,988296830 
2015,C69,1242 ,10797 ,2766389250 
2015,C70,696 ,4199 ,3261169590 
2015,C71,10344 ,118853 ,79226315110 
2015,C73,315410 ,1391336 ,185166843160 
2015,C74,1166 ,14076 ,6699212460 
2015,C75,809 ,5691 ,2643977090 
2015,C76,1441 ,10227 ,3922238380 
2015,C77,6394 ,24446 ,13226342270 
2015,C78,12859 ,52247 ,40689787430 
2015,C79,14030 ,72400 ,58298705850 
2015,C80,4066 ,22083 ,11112606800 
2015,C81,1946 ,18734 ,8070630510 
2015,C82,1571 ,14519 ,9666271200 
2015,C83,10616 ,107084 ,101171461700 
2015,C84,1871 ,26971 ,16096127920 
2015,C85,9809 ,65275 ,33798638660 
2015,C88,3680 ,25095 ,7371657880 
2015,C90,6098 ,109910 ,107714471230 
2015,C91,5447 ,76012 ,62999188520 
2015,C92,11255 ,117603 ,144839873210 
2015,C93,404 ,4368 ,5047615730 
2015,C94,528 ,4360 ,3961303220 
2015,C95,1753 ,10745 ,11279732780 
2015,C96,1551 ,10493 ,4189649140 
2015,C97,78 ,160 ,299095430 
2015,D00,3411 ,11244 ,2808091530 
2015,D01,14209 ,43543 ,9420602480 
2015,D02,641 ,3046 ,853103380 
2015,D03,581 ,1880 ,283085960 
2015,D04,2160 ,8256 ,1115147880 
2015,D05,22100 ,161617 ,34902516860 
2015,D06,29617 ,102480 ,11407045920 
2015,D07,1308 ,4768 ,718468790 
2015,D09,2784 ,12493 ,2849939330 
2015,D32,20025 ,76594 ,41546717460 
2015,D33,16824 ,66248 ,29216686190 
2015,D37,31153 ,76998 ,22798965510 
2015,D38,13830 ,21579 ,4963828760 
2015,D39,9808 ,26937 ,5862580710 
2015,D40,798 ,1882 ,253854670 
2015,D41,4320 ,8726 ,2309115270 
2015,D42,1572 ,6746 ,4641072420 
2015,D43,7893 ,29460 ,15198139560 
2015,D44,15969 ,35635 ,7749740550 
2015,D45,2882 ,17732 ,1972904120 
2015,D46,4497 ,64667 ,52516249590 
2015,D47,8411 ,50842 ,13103448250 
2015,D48,14704 ,34995 ,8453280940 
2016,C00,275 ,1996 ,906873820 
2016,C01,818 ,9904 ,4213665590 
2016,C02,3179 ,32865 ,14721508330 
2016,C03,725 ,6561 ,2912323430 
2016,C04,415 ,4776 ,2371854260 
